Категорія,Коротка назва,Coin,Над-категорія
Інтерфейс: Віконця або блоки,🛒 Обмін ресурсів (по певному курсу),🟡,Інтерфейс
Сутності: Фунціонал сутностей,"⬇️ Каміння може впасти на гравця (або гравій, або наковальня)",🟤,Сутності (entities)
Функціонал гри,Шанс появи клітинки-ресурсу залежить від типу ресурсу,🟤,Функціонал гри
Функціонал гри,Шанс появи клітинки-ресурсу залежить від глибини розташування,🟤,Функціонал гри
Сутності: Фунціонал сутностей,"✨ Часткове перетворення лави на каміння, коли стоїмо поряд з нею",🟤,Сутності (entities)
Сутності: Фунціонал сутностей,"✨ Блок автоматично зʼявляється під гравцем, коли він йде наверх",🟤,Сутності (entities)
Інтерфейс: Графічні таски,💾 При зберіганні гравець візуально підіймається наверх по клітинкам,🟤,Інтерфейс
Сутності: Параметри сутностей,💛 Життя: Кількість життів (тотемів),🟤,Сутності (entities)
Сутності: Параметри сутностей,💛 Життя: Кількість яблук (які покращують здоровʼя),🟤,Сутності (entities)
Сутності: Параметри сутностей,⚔️ Зброя: Міцність кірки (скільки разів можна використати),🟤,Сутності (entities)
Інтерфейс: Відображення інфи,"Глибина, на якій знаходимось",🟤,Інтерфейс
Інтерфейс: Відображення інфи,"📊 Кількість ресурсів, які викопали",🟤,Інтерфейс
